model,split,num_samples,top1_accuracy,top5_accuracy,macro_f1
msasl100_pose_balanced_large_recognition,val,643,0.49300155520995337,0.7558320373250389,0.4533508079221298
msasl100_pose_balanced_large_recognition,test,521,0.47024952015355087,0.7677543186180422,0.44613100696733754
msasl126_include50_candidate_recognition,val,729,0.4513031550068587,0.7242798353909465,0.42732169691442873
msasl126_include50_candidate_recognition,test,593,0.5042158516020236,0.7639123102866779,0.4599440677172562
cslrt_recognition_v3,test,93,0.053763440860215055,0.17204301075268819,
cslrt_word_recognition,test,169,0.07692307692307693,0.3136094674556213,
